鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺,租金總額元,備註,編號
新莊區,房地(土地+建物),新北市新莊區中平路270巷1~30號,25.03,住,,,10410,土地1建物1車位0,五層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0881105,119.93,4,2,2,有,有,有,23000,192,,0.0,0,,RPPNMLRJJIKFFBF87CC
新莊區,房地(土地+建物)+車位,新北市新莊區立信一街61~90號,20.84,住,,,10410,土地1建物2車位1,十三層,13,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0990104,197.68,4,2,2,有,有,無,33000,167,坡道平面,15.85,0,,RPQNMLRJJIKFFBF97CC
新莊區,房地(土地+建物),新北市新莊區青山路一段31~60號,13.56,住,,,10410,土地1建物1車位0,十二層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0940906,112.14,3,2,2,有,有,有,17500,156,,0.0,0,,RPRNMLRJJIKFFBF08CC
新莊區,房地(土地+建物),新北市新莊區中華路二段211~240號,12.6,住,,,10410,土地1建物1車位0,八層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0890411,100.75,3,2,2,有,有,有,22000,218,,0.0,0,,RPSNMLRJJIKFFBF18CC
淡水區,房地(土地+建物),新北市淡水區新民街19巷61~90號,6.39,住,,,10411,土地1建物1車位0,七層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0891027,33.65,1,0,1,有,有,有,8000,238,,0.0,0,,RPVNMLRJJIKFFEF78CC
淡水區,房地(土地+建物),新北市淡水區新市二路三段151~180號,21.77,其他,,,10411,土地1建物1車位0,十二層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1031127,151.82,3,2,2,有,有,有,18000,119,,0.0,0,,RPXNMLRJJIKFFEF98CC
淡水區,房地(土地+建物),新北市淡水區中正東路一段121~150號,4.88,住,,,10411,土地1建物1車位0,十層,21,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0940714,62.06,1,1,1,有,有,有,13500,218,,0.0,0,,RPTOMLTJJIKFFEF88CC
汐止區,建物,新北市汐止區湖前街110巷97弄1~30號,33.55,,山坡地保育區,丙種建築用地,10409,土地0建物1車位0,二十五層,25,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0881202,109.64,3,2,2,有,有,無,16000,146,,0.0,0,,RPUNMLTJJIKFFDF78CC
汐止區,建物,新北市汐止區大同路一段211~240號,0.0,工,,,10410,土地0建物1車位4,十層,17,廠辦,工業用,鋼筋混凝土造,1010919,648.47,0,0,0,無,有,有,125000,193,坡道平面,80.48,0,,RPXNMLTJJIKFFDF09CC
板橋區,房地(土地+建物),新北市板橋區新府路121~150號,2.69,其他,,,10410,土地1建物1車位0,十七層,24,套房(1房1廳1衛),住家用,鋼筋混凝土造,0971119,38.230000000000004,1,1,1,有,有,有,16000,419,,0.0,0,租金含管理費。,RPXNMLTJJIKFFAF78CC
板橋區,建物,新北市板橋區文化路一段331~360號,0.0,住,,,10410,土地0建物1車位0,三十四層,40,套房(1房1廳1衛),住家用,見其他登記事項,0990715,42.5,1,1,1,有,有,有,17500,412,,0.0,0,,RPRQMLTJJIKFFAF48CC
