鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
嘉義市,房地(土地+建物),嘉義市嘉義巿安和街31~60號,9.31,住,,,10410,土地1建物1車位0,六層,六層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0821007,45.269999999999996,1,1,1,有,無,1400000,30926,,0.0,0,,RPSNMLNKJIKFFAI87CA
嘉義市,房地(土地+建物),嘉義市嘉義巿興達路481~510號,8.69,住,,,10410,土地1建物1車位0,二層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0831125,86.07,2,2,1,有,有,2400000,27884,,0.0,0,,RPPOMLPLJIKFFAI97CA
嘉義市,房地(土地+建物),嘉義市嘉義巿大業街31~60號,75.0,住,,,10410,土地1建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土造,0711130,140.61,4,2,3,有,無,6220000,44236,,0.0,0,,RPQOMLPLJIKFFAI08CA
嘉義市,房地(土地+建物),嘉義市嘉義巿徐州六街1~30號,96.0,住,,,10410,土地1建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土造,0730430,176.66,5,2,2,有,無,10600000,60002,,0.0,0,,RPPOMLLJKIKFFAI47CA
嘉義市,房地(土地+建物),嘉義市嘉義巿新榮路61~90號,113.0,商,,,10410,土地1建物1車位0,一層，二層，三層，四層，騎樓，見其他登記事項,四層,店面(店鋪),見其他登記事項,見其他登記事項,1020719,376.11,6,2,3,有,無,29000000,77105,,0.0,0,,RPUOMLLJKIKFFAI97CA
嘉義市,房地(土地+建物),嘉義市嘉義巿中興路31~60號,4.53,商,,,10409,土地1建物1車位0,五層,十層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0770924,43.989999999999995,1,1,1,有,有,1100000,25006,,0.0,0,,RPUNMLLKJIKFFAI08EA
嘉義市,土地,下路頭段301~330地號,436.0,住,,,10410,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,18339860,42064,,0.0,0,向政府機關承購之案件。,RPVNMLRKJIKFFAI78EA
嘉義市,房地(土地+建物),嘉義市嘉義巿忠孝路781~810號,16.8,住,,,10410,土地1建物1車位0,十一層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0841004,117.32,4,2,2,有,有,3370000,28725,,0.0,0,,RPTNMLLKJIKFFAI97EA
嘉義市,房地(土地+建物)+車位,嘉義市嘉義巿民權路1~30號,23.16,住,,,10410,土地1建物1車位1,十一層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870421,188.53,3,1,2,有,有,8777116,46556,一樓平面,51.93,0,,RPRPMLMJKIKFFAI87CA
嘉義市,房地(土地+建物),嘉義市嘉義巿姜文街31~60號,111.55,住,,,10410,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0840123,330.96000000000004,4,1,4,有,無,8600000,25985,,0.0,0,親友、員工或其他特殊關係間之交易。,RPTNMLMKJIKFFAI97DA
嘉義市,房地(土地+建物),嘉義市嘉義巿興仁街38巷地下層121~150號,173.69,住,,,10410,土地1建物1車位0,地下一層,九層,其他,見其他登記事項,鋼筋混凝土造,0831223,2100.99,0,0,0,無,有,1700000,809,,0.0,0,地下層機車停車及防空避難空間之瑕疵物件交易。,RPTOMLNJKIKFFAI08CA
嘉義市,土地,東川段871~900地號,138.25,住,,,10410,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3800000,27486,,0.0,0,親友、員工或其他特殊關係間之交易。含增建或未登記建物。,RPVOMLPLJIKFFAI58CA
嘉義市,房地(土地+建物),嘉義市嘉義巿小雅路181~210號,8.1,住,,,10410,土地1建物1車位0,七層,十六層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0820609,68.06,1,1,1,有,有,800000,11754,,0.0,0,,RPQNMLPKJIKFFAI87CA
嘉義市,土地,鳥岫段721~750地號,590.17,農,,,10410,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,12783082,21660,,0.0,0,,RPRNMLTJJIKFFAI28CA
嘉義市,房地(土地+建物),嘉義市嘉義巿志昇街91~120號,29.07,其他,,,10410,土地2建物1車位0,二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0931103,187.89,3,2,2,有,有,5230000,27835,,0.0,0,,RPQNMLLKJIKFFAI47CA
嘉義市,土地,溪厝段211~240地號,1594.04,農,,,10410,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,13590000,8526,,0.0,0,,RPWNMLLKJIKFFAI08CA
嘉義市,房地(土地+建物),嘉義市嘉義巿福州三街1~30號,135.0,住,,,10410,土地1建物1車位0,全,四層,透天厝,見其他登記事項,見其他登記事項,1031223,330.32,5,3,6,有,無,21000000,63575,,0.0,0,,RPPNMLMKJIKFFAI47CA
嘉義市,土地,埤子頭段331~360地號,9.0,住,,,10410,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,260000,28889,,0.0,0,,RPQNMLMKJIKFFAI57CA
嘉義市,土地,育人段1021~1050地號,452.68,住,,,10409,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7751198,17123,,0.0,0,,RPRNMLMKJIKFFAI67CA
嘉義市,房地(土地+建物),嘉義市嘉義巿盧厝東洋新?301~330號,24.95,住,,,10410,土地1建物1車位0,三層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0741129,100.99000000000001,3,2,2,有,有,3000000,29706,,0.0,0,,RPSNMLPKJIKFFAI08CA
嘉義市,土地,竹村段1~30地號,1080.69,農,,,10410,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4903500,4537,,0.0,0,,RPWNMLNKJIKFFAI28CA
嘉義市,房地(土地+建物),嘉義市嘉義巿嘉南街61~90號,65.0,住,,,10410,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0681109,72.24,4,2,3,有,無,3990000,55233,,0.0,0,含增建或未登記建物。權利人有二人,RPROMLKMJIKFFAI77CA
嘉義市,房地(土地+建物),嘉義市嘉義巿彌陀路121~150號,3.26,住,,,10409,土地1建物1車位0,四層,二十層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0850311,52.56,1,1,1,有,有,1000000,19026,,0.0,0,,RPSOMLPLJIKFFAI28CA
嘉義市,房地(土地+建物),嘉義市嘉義巿許厝庄仔31~60號,84.0,住,,,10411,土地1建物1車位0,全,三層,透天厝,住家用,見其他登記事項,1020902,136.19,5,2,3,有,無,5750000,42220,,0.0,0,,RPQNMLOLJIKFFAI87CA
嘉義市,房地(土地+建物),嘉義市嘉義巿博愛路二段62巷1~30號,48.0,住,,,10410,土地1建物1車位0,全,一層,透天厝,住家用,見其他登記事項,0511215,37.12,2,1,1,有,無,2130000,57381,,0.0,0,,RPRNMLMLJIKFFAI77CA
嘉義市,房地(土地+建物),嘉義市嘉義巿民生南路608巷151~180號,20.53,住,,,10410,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0740919,86.62,3,2,1,有,無,1630000,18818,,0.0,0,,RPXNMLOJKIKFFAI48CA
嘉義市,房地(土地+建物)+車位,嘉義市嘉義巿新榮路1~30號,37.78,住,,,10410,土地2建物1車位1,七層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0931103,183.64,3,2,2,有,有,5250000,28589,坡道平面,0.0,0,,RPOOMLOJKIKFFAI67CA
嘉義市,土地,彌陀段1141~1170地號,110.0,住,,,10410,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5500000,50000,,0.0,0,,RPPOMLOJKIKFFAI77CA
嘉義市,房地(土地+建物)+車位,嘉義市嘉義巿蘭井街331~360號,15.18,商,,,10410,土地2建物1車位1,八層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0841109,124.19999999999999,3,2,2,有,有,3650000,29388,坡道機械,0.0,0,,RPRNMLNJKIKFFAI77CA
嘉義市,房地(土地+建物),嘉義市嘉義巿芳安路337巷1~30號,69.0,住,,,10410,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0671103,94.82,4,2,2,有,無,4550000,47986,,0.0,0,,RPSNMLSLJIKFFAI48CA
嘉義市,房地(土地+建物),嘉義市嘉義巿國聖一街1~30號,92.0,住,,,10410,土地1建物1車位0,全,四層,透天厝,住商用,鋼筋混凝土造,0830121,257.96,6,2,2,有,無,9300000,36052,,0.0,0,,RPROMLLJKIKFFAI67CA
嘉義市,房地(土地+建物),嘉義市嘉義巿興仁街10巷1~30號,70.0,住,,,10410,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0811124,145.36,4,1,3,有,無,4500000,30958,,0.0,0,,RPPNMLSKJIKFFAI08CA
嘉義市,房地(土地+建物),嘉義市嘉義巿五福街61~90號,37.08,住,,,10410,土地3建物1車位0,全,五層,透天厝,見其他登記事項,鋼筋混凝土造,0881022,80.45,5,2,3,有,無,3800000,47234,,0.0,0,移轉10分之3建物及土地,RPPOMLQKJIKFFAI97CA
嘉義市,房地(土地+建物),嘉義市嘉義巿宣信街241~270號,37.44,住,,,10410,土地2建物3車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0720920,128.19,3,2,1,有,無,2250000,17552,,0.0,0,,RPWNMLRKJIKFFAI68CA
