編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPQNNLMKJIKFFGH18CA,,80.16,住家用,鋼筋混凝土造,104年4月16日,十四層,十一層
RPQNNLMKJIKFFGH18CA,,14.92,共有部份,鋼筋混凝土造,104年4月16日,十四層,
RPQNNLMKJIKFFGH18CA,,43.78,共有部份,鋼筋混凝土造,104年4月16日,十四層,
RPVNNLMKJIKFFGH68CA,1,88.20,住家用,鋼筋混凝土造,104年4月16日,十四層,十層
RPVNNLMKJIKFFGH68CA,1,17.54,共有部份,鋼筋混凝土造,104年4月16日,十四層,
RPVNNLMKJIKFFGH68CA,1,49.77,共有部份,鋼筋混凝土造,104年4月16日,十四層,
RPOPMLNKJIKFFGH18CA,,61.80,住家用,鋼筋混凝土造,104年5月11日,十九層,十九層
RPOPMLNKJIKFFGH18CA,,8.64,共有部份,鋼筋混凝土造,104年5月11日,二十層,
RPOPMLNKJIKFFGH18CA,,41.85,共有部份,鋼筋混凝土造,104年5月11日,二十層,
RPOPMLNKJIKFFGH18CA,,20.99,共有部份,鋼筋混凝土造,104年5月11日,十九層,
RPRQMLNKJIKFFGH58CA,,8.64,共有部份,鋼筋混凝土造,104年5月11日,二十層,
RPRQMLNKJIKFFGH58CA,,61.81,住家用,鋼筋混凝土造,104年5月11日,十九層,十五層
RPRQMLNKJIKFFGH58CA,,41.85,共有部份,鋼筋混凝土造,104年5月11日,二十層,
RPRQMLNKJIKFFGH58CA,,19.17,共有部份,鋼筋混凝土造,104年5月11日,十九層,
RPUPMLMJKIKFFGH68CA,,64.78,住家用,鋼筋混凝土造,104年5月13日,十四層,八層
RPUPMLMJKIKFFGH68CA,,61.69,共有部份,鋼筋混凝土造,104年5月13日,十五層,
RPUPMLMJKIKFFGH68CA,,13.63,共有部份,鋼筋混凝土造,104年5月13日,十四層,
RPVPMLMJKIKFFGH78CA,,89.83,住家用,鋼筋混凝土造,104年5月13日,十五層,七層
RPVPMLMJKIKFFGH78CA,,68.51,共有部份,鋼筋混凝土造,104年5月13日,十五層,
RPVPMLMJKIKFFGH78CA,,17.65,共有部份,鋼筋混凝土造,104年5月13日,十五層,
RPWPMLMJKIKFFGH88CA,,89.83,住家用,鋼筋混凝土造,104年5月13日,十五層,十三層
RPWPMLMJKIKFFGH88CA,,68.51,共有部份,鋼筋混凝土造,104年5月13日,十五層,
RPWPMLMJKIKFFGH88CA,,17.65,共有部份,鋼筋混凝土造,104年5月13日,十五層,
RPXPMLMJKIKFFGH98CA,,89.83,住家用,鋼筋混凝土造,104年5月13日,十五層,十五層
RPXPMLMJKIKFFGH98CA,,68.51,共有部份,鋼筋混凝土造,104年5月13日,十五層,
RPXPMLMJKIKFFGH98CA,,17.65,共有部份,鋼筋混凝土造,104年5月13日,十五層,
RPQNMLPLJIKFFGH48CA,1,150.79,住家用,鋼筋混凝土造,103年8月19日,十五層,十層
